w={'en': 2, 'hi': 3, 'te': 3, 'mai': 1} en=0.6083 hi=0.5625 te=0.6429 mai=0.7348 spread=0.17239 score=5801 under1.2=True
  ** new best score=5801
w={'en': 2, 'hi': 3, 'te': 3, 'mai': 2} en=0.6086 hi=0.5635 te=0.6455 mai=0.6677 spread=0.10418 score=9599 under1.2=True
  ** new best score=9599
w={'en': 2, 'hi': 3, 'te': 3, 'mai': 3} en=0.6091 hi=0.5640 te=0.6505 mai=0.6147 spread=0.08650 score=11561 under1.2=True
  ** new best score=11561
w={'en': 2, 'hi': 3, 'te': 4, 'mai': 1} en=0.6116 hi=0.5798 te=0.5975 mai=0.7405 spread=0.16070 score=6223 under1.2=True
w={'en': 2, 'hi': 3, 'te': 4, 'mai': 2} en=0.6126 hi=0.5790 te=0.6003 mai=0.6846 spread=0.10559 score=9470 under1.2=True
w={'en': 2, 'hi': 3, 'te': 4, 'mai': 3} en=0.6136 hi=0.5783 te=0.6029 mai=0.6376 spread=0.05922 score=16885 under1.2=True
  ** new best score=16885
w={'en': 2, 'hi': 3, 'te': 5, 'mai': 1} en=0.6144 hi=0.5798 te=0.5908 mai=0.7395 spread=0.15966 score=6263 under1.2=True
w={'en': 2, 'hi': 3, 'te': 5, 'mai': 2} en=0.6161 hi=0.5791 te=0.5911 mai=0.6935 spread=0.11440 score=8741 under1.2=True
w={'en': 2, 'hi': 3, 'te': 5, 'mai': 3} en=0.6196 hi=0.5780 te=0.5916 mai=0.6374 spread=0.05943 score=16828 under1.2=True
w={'en': 2, 'hi': 3, 'te': 6, 'mai': 1} en=0.6321 hi=0.5945 te=0.5392 mai=0.7546 spread=0.21541 score=4642 under1.2=True
w={'en': 2, 'hi': 3, 'te': 6, 'mai': 2} en=0.6334 hi=0.5938 te=0.5415 mai=0.7150 spread=0.17352 score=5763 under1.2=True
w={'en': 2, 'hi': 3, 'te': 6, 'mai': 3} en=0.6328 hi=0.5928 te=0.5463 mai=0.6503 spread=0.10396 score=9619 under1.2=True
w={'en': 2, 'hi': 4, 'te': 3, 'mai': 1} en=0.6180 hi=0.5426 te=0.6659 mai=0.7173 spread=0.17473 score=5723 under1.2=True
w={'en': 2, 'hi': 4, 'te': 3, 'mai': 2} en=0.6189 hi=0.5427 te=0.6662 mai=0.6742 spread=0.13157 score=7601 under1.2=True
w={'en': 2, 'hi': 4, 'te': 3, 'mai': 3} en=0.6207 hi=0.5430 te=0.6664 mai=0.6195 spread=0.12336 score=8106 under1.2=True
w={'en': 2, 'hi': 4, 'te': 4, 'mai': 1} en=0.6233 hi=0.5482 te=0.6336 mai=0.7185 spread=0.17031 score=5872 under1.2=True
